Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
O.sativa,LOC_Os06g48720,HMA2,Zn,10.1111/j.1365-3040.2012.02527.x,NA,"Shoots,Roots",NA
O.sativa,LOC_Os06g48810,HKT2;1,Na,10.1038/sj.emboj.7601732,,"Roots, shoots",Previously OsHKT1
O.sativa,LOC_Os07g01810,TPKb,K,10.1111/nph.13708,NA,"Leaf,root",NA
O.sativa,LOC_Os07g09000,PHF1,P,10.1104/pp.111.181669,,"Leaf,root",NA
O.sativa,LOC_Os07g12900,HMA3,Cd,10.1007/s11104-016-2812-6,NA,"Shoots,seeds",NA
O.sativa,LOC_Os07g15370,NRAMP5,"Fe,Mn,Cd",10.1105/tpc.112.096925,NA,Leaf,NA
O.sativa,LOC_Os08g01120,MOT1;1,Mo,10.1111/nph.15546,MOT1;1,"Shoots,Seed",NA
O.sativa,LOC_Os08g04390,PRI1,Fe,10.1104/pp.17.00794,NA,"Shoots, roots",NA
O.sativa,LOC_Os08g05590,NIP3;2,As,10.1093/jxb/erx165,,Roots,NA
O.sativa,LOC_Os08g05600,NIP3;3,As,10.1111/nph.15190,,Shoots,NA
O.sativa,LOC_Os08g10480,ATX1,Cu,10.1104/pp.18.00425,NA,"Shoots, Roots, Seeds",NA
O.sativa,LOC_Os09g23300,VIT2,"Fe,Zn",10.1111/j.1365-313X.2012.05088.x,"A.thaliana, T.aestivum","Shoots,seeds",NA
O.sativa,LOC_Os12g03899,ZIFL12,Fe,10.1104/pp.19.00598,,Shoots,VMT
O.sativa,LOC_Os12g18410,MIR,Fe,10.1093/mp/ssp051,NA,"Shoots,Roots,Seeds",NA
O.sativa,LOC_Os12g32400,bHLH133,Fe,10.1111/j.1365-3040.2012.02569.x,,"Leaf,root,shoot",NA
O.sativa,LOC_Os12g37840,BOR1,B,10.1105/tpc.106.049015,,Shoots,NA
O.sativa,Os01g0689300,HRZ1,Fe,10.1038/ncomms3792,NA,"Shoots, seeds","Gene ID from RAPDB, with no matching ID at MSU"
T.aestivum,2AL-TRIAE_CS42_ 2AL_TGACv1_095050_AA0306410,IPK1,"Fe, Zn",10.3389/fpls.2018.00259,,Seed,NA
T.aestivum,Traes_4AS_7220D33B3,PHR1,P,10.1093/aob/mct080,,Shoots,NA
T.aestivum,Traes_4BL_7091749BF,ABCC13,Ca,10.1093/jxb/erw224,,Seed,NA
T.aestivum,Traes_4DL_3F8034BFD,HKT2;1,Na,10.1046/j.1365-313X.2002.01410.x,NA,Roots,NA
Z.mays,GRMZM2G047616,HKT1,Na,10.1111/nph.14882,,Leaf,NA
Z.mays,GRMZM2G060952,YS1,Fe,10.1104/pp.106.1.71,"O.sativa, S.bicolor, T.aestivum",Root,NA
Z.mays,GRMZM2G063306,YS3,Fe,10.3389/fpls.2018.00157,,Leaf,ZEAMMB73_Zm00001d028360
Z.mays,GRMZM2G084779,HAK5,K,10.1111/jipb.12756,,"Roots, shoots",NA
Z.mays,GRMZM2G176209,TLS1,B,10.1105/tpc.114.125898,,"Shoots, roots, anthers",NA
